objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
265,42101027600,201,1981,2024,1009633.12,256154.2,32571.83,218209.36,1516568.51,7545.12
266,42101027700,352,1978,2024,1392982.27,398056.91,36692.49,356814.86,2184546.53,6206.1
267,42101027800,241,1994,2024,1111437.64,189137.84,29644.88,207945.72,1538166.08,6382.43
268,42101027901,402,1978,2024,1664156.53,496398.39,46816.17,455329.56,2662700.65,6623.63
269,42101027902,129,1986,2024,484777.3,161640.53,15239.17,128924.07,790712.13,6129.55
270,42101028000,382,1984,2024,1250182.8,525328.88,42732.06,422150.65,2240394.39,5864.91
271,42101028100,286,1978,2024,1001069.96,322207.61,29043.76,268934.01,1621255.34,5668.72
272,42101028200,237,1991,2024,780487.78,134297.62,20089.07,181252.15,1116126.62,4709.4
273,42101028300,584,1979,2024,1893526.27,742291.3,66196.59,539818.35,3241832.51,5551.08
274,42101028400,480,1978,2024,1270741.02,734491.56,49974.35,443764.54,2498971.47,5206.19
275,42101028500,88,1996,2024,301954.65,56782.52,9601.71,76468.42,444807.3,5054.63
276,42101028600,292,1995,2024,844791.94,156930.63,22659.3,229844.14,1254226.01,4295.29
277,42101028700,143,1978,2024,473127.06,126166.61,12994.91,121372.93,733661.51,5130.5
278,42101028800,244,1992,2024,626944.4,132102.72,20432.23,172100.21,951579.56,3899.92
279,42101028901,134,1997,2024,319424.34,61272.28,7646.31,88548.12,476891.05,3558.89
280,42101028902,178,1997,2024,482862.3,79891.74,11262.2,112427.54,686443.78,3856.43
281,42101029000,163,1978,2024,570382,126159.74,12690.12,130145.97,839377.83,5149.56
282,42101029100,94,1978,2024,866408.96,59071.07,9319.82,87118.7,1021918.55,10871.47
283,42101029200,102,1997,2024,377048.91,26934.31,6050.63,70430.25,480464.1,4710.43
284,42101029300,210,1983,2024,826743.72,285972.74,27463.64,235768.08,1375948.18,6552.13
285,42101029400,300,1978,2024,944571.4,288951.46,33884.67,305759.9,1573167.43,5243.89
286,42101029800,124,1997,2024,318652.66,28176.23,7576.53,77497.17,431902.59,3483.09
287,42101029900,228,1980,2024,697610.68,223683.92,23220.22,214976.93,1159491.75,5085.49
288,42101030000,442,1978,2024,1564295.18,490933.44,54516.35,451309.65,2561054.62,5794.24
289,42101030100,146,1985,2024,961424.32,367651,35948.65,242275.59,1607581.18,11010.83
290,42101030200,112,1997,2024,384724.91,37688.3,7474.04,66270.64,496157.89,4429.98
291,42101030501,96,2001,2024,289545.69,65637.02,6278.41,66940.01,428401.13,4462.51
292,42101030502,79,1997,2024,306517.88,44577.1,7714.35,56268.47,415077.8,5254.15
293,42101030600,102,1997,2024,404426.14,62729.58,12267.82,80643.74,560067.28,5490.86
294,42101030700,40,1997,2024,366467.21,49343.99,11971.11,46026.13,473808.44,11845.21
295,42101030800,53,1995,2024,233032.84,26618.09,4924.88,33379.31,297955.12,5621.79
296,42101030900,38,1988,2024,202366.69,11876.16,1361.32,44241.98,259846.15,6838.06
297,42101031000,79,1996,2024,338047.01,63439.25,10429.95,57547.68,469463.89,5942.58
298,42101031101,57,2005,2024,227830.29,13222.83,3792.15,39176.79,284022.06,4982.84
299,42101031102,55,2009,2024,215412.64,14309.78,4137.11,37007.29,270866.82,4924.85
300,42101031200,37,1993,2024,118290.11,4418.75,1445.47,17620.09,141774.42,3831.74
301,42101031300,70,1997,2024,361994.28,48964,5653.14,46980.77,463592.19,6622.75
302,42101031401,67,2003,2024,253547.49,6972.3,1852.43,37047.74,299419.96,4468.95
