GEOID,geometry
42101026400,"list(list(c(-75.165714, -75.168099, -75.166072, -75.163822, -75.162495, -75.159299, -75.156726, -75.155254, -75.15642, -75.158413, -75.160691, -75.163173, -75.164602, -75.165453, -75.168641, -75.165714, 40.06439, 40.065219, 40.067194, 40.066357, 40.067732, 40.065913, 40.064442, 40.062431, 40.061234, 40.059181, 40.056831, 40.058233, 40.059044, 40.059541, 40.061373, 40.06439)))"
42101027300,"list(list(c(-75.12386, -75.123535, -75.12281, -75.122078, -75.121432, -75.119454, -75.113833, -75.113544, -75.112319, -75.11455, -75.11442, -75.113854, -75.113156, -75.114896, -75.116083, -75.120713, -75.121711, -75.121964, -75.1236, -75.124167, -75.12386, 40.035562, 40.038719, 40.040181, 40.041664, 40.044731, 40.04448, 40.043483, 40.042711, 40.043276, 40.039747, 40.039263, 40.037292, 40.036507, 40.034447, 40.033037, 40.03364, 40.03347, 40.03373, 40.032771, 40.032575, 40.035562)))"
42101027901,"list(list(c(-75.158217, -75.158132, -75.158017, -75.157958, -75.154793, -75.153235, -75.15082, -75.150967, -75.15068, -75.150148, -75.149591, -75.149796, -75.152081, -75.153883, -75.153946, -75.158306, -75.158217, 40.045076, 40.046418, 40.048126, 40.049025, 40.048902, 40.048842, 40.048518, 40.046767, 40.046352, 40.045658, 40.04483, 40.043673, 40.043608, 40.043659, 40.042752, 40.042861, 40.045076)))"
42101028700,"list(list(c(-75.135657, -75.135724, -75.133207, -75.13061, -75.128126, -75.125387, -75.125462, -75.127217, -75.127922, -75.128883, -75.134194, -75.135818, -75.135657, 40.023275, 40.023602, 40.024144, 40.024699, 40.025222, 40.025647, 40.025184, 40.024779, 40.021979, 40.018945, 40.019619, 40.020645, 40.023275)))"
42101029800,"list(list(c(-75.07338, -75.069087, -75.068516, -75.06701, -75.066116, -75.065113, -75.063385, -75.062519, -75.061413, -75.061339, -75.069508, -75.069786, -75.06999, -75.070429, -75.070864, -75.071847, -75.072575, -75.07338, 40.019654, 40.021904, 40.021385, 40.01967, 40.018648, 40.017511, 40.01552, 40.014542, 40.013284, 40.012764, 40.010798, 40.011543, 40.012032, 40.013167, 40.014353, 40.016952, 40.018868, 40.019654)))"
42101030900,"list(list(c(-75.088312, -75.086975, -75.086165, -75.082888, -75.079188, -75.082674, -75.084412, -75.086804, -75.087852, -75.088091, -75.088709, -75.088184, -75.088978, -75.088312, 40.045514, 40.048567, 40.050024, 40.048197, 40.046133, 40.04242, 40.039499, 40.037049, 40.036111, 40.03654, 40.03795, 40.040767, 40.044082, 40.045514)))"
42101031101,"list(list(c(-75.082674, -75.079188, -75.077403, -75.073836, -75.075452, -75.076652, -75.077394, -75.07862, -75.082114, -75.080904, -75.082674, 40.04242, 40.046133, 40.045139, 40.043174, 40.041477, 40.040257, 40.039464, 40.038205, 40.040147, 40.041432, 40.04242)))"
42101031700,"list(list(c(-75.074325, -75.073733, -75.072682, -75.070806, -75.07016, -75.064433, -75.063277, -75.062828, -75.062394, -75.065108, -75.065403, -75.067957, -75.073364, -75.075488, -75.074325, 40.028469, 40.029784, 40.031938, 40.03528, 40.035425, 40.036738, 40.031554, 40.02941, 40.027444, 40.027073, 40.027033, 40.026583, 40.025369, 40.027071, 40.028469)))"
42101032300,"list(list(c(-75.057513, -75.055564, -75.053604, -75.054495, -75.051104, -75.050202, -75.049304, -75.048375, -75.045381, -75.04879, -75.052816, -75.053922, -75.055687, -75.057513, 40.021597, 40.022606, 40.023615, 40.024648, 40.026407, 40.02538, 40.024351, 40.023291, 40.019868, 40.018141, 40.016119, 40.017488, 40.019504, 40.021597)))"
42101033400,"list(list(c(-75.060654, -75.057125, -75.053574, -75.052408, -75.051677, -75.050091, -75.048323, -75.044507, -75.04586, -75.047003, -75.048291, -75.050817, -75.051496, -75.05195, -75.052455, -75.054646, -75.057048, -75.059937, -75.058284, -75.060654, 40.050999, 40.054722, 40.058477, 40.059739, 40.063082, 40.06216, 40.061176, 40.059365, 40.057963, 40.056818, 40.055538, 40.052907, 40.050459, 40.047436, 40.046732, 40.044645, 40.04603, 40.047751, 40.049688, 40.050999)))"
